Date,Open,High,Low,Close,Currency Pair
15/05/2020,1.0806,1.0851,1.0788,1.0818,EUR/USD
14/05/2020,1.0818,1.0824,1.0773,1.0803,EUR/USD
13/05/2020,1.0851,1.0897,1.0810,1.0818,EUR/USD
12/05/2020,1.0810,1.0885,1.0783,1.0852,EUR/USD
11/05/2020,1.0835,1.0851,1.0799,1.0809,EUR/USD
08/05/2020,1.0836,1.0876,1.0814,1.0838,EUR/USD
07/05/2020,1.0798,1.0841,1.0764,1.0838,EUR/USD
06/05/2020,1.0806,1.0817,1.0789,1.0797,EUR/USD
05/05/2020,1.0904,1.0926,1.0825,1.0844,EUR/USD
04/05/2020,1.0956,1.0962,1.0894,1.0904,EUR/USD
01/05/2020,1.0943,1.1019,1.0933,1.0980,EUR/USD
30/04/2020,1.0875,1.0973,1.0833,1.0943,EUR/USD
29/04/2020,1.0825,1.0886,1.0822,1.0875,EUR/USD
28/04/2020,1.0829,1.0889,1.0808,1.0823,EUR/USD
27/04/2020,1.0817,1.0860,1.0810,1.0829,EUR/USD
24/04/2020,1.0780,1.0830,1.0725,1.0824,EUR/USD
23/04/2020,1.0823,1.0847,1.0755,1.0780,EUR/USD
22/04/2020,1.0854,1.0885,1.0802,1.0823,EUR/USD
21/04/2020,1.0864,1.0880,1.0815,1.0854,EUR/USD
20/04/2020,1.0868,1.0897,1.0840,1.0864,EUR/USD
17/04/2020,1.0860,1.0893,1.0810,1.0874,EUR/USD
16/04/2020,1.0902,1.0907,1.0815,1.0860,EUR/USD
15/04/2020,1.0984,1.0988,1.0855,1.0901,EUR/USD
14/04/2020,1.0915,1.0991,1.0913,1.0983,EUR/USD
13/04/2020,1.0937,1.0968,1.0891,1.0915,EUR/USD
10/04/2020,1.0926,1.0953,1.0917,1.0932,EUR/USD
09/04/2020,1.0859,1.0952,1.0840,1.0926,EUR/USD
08/04/2020,1.0892,1.0902,1.0829,1.0859,EUR/USD
07/04/2020,1.0785,1.0926,1.0783,1.0892,EUR/USD
06/04/2020,1.0817,1.0836,1.0767,1.0785,EUR/USD
03/04/2020,1.0850,1.0855,1.0771,1.0812,EUR/USD
02/04/2020,1.0956,1.0964,1.0819,1.0850,EUR/USD
01/04/2020,1.1023,1.1037,1.0901,1.0956,EUR/USD
31/03/2020,1.1042,1.1043,1.0925,1.1023,EUR/USD
30/03/2020,1.1110,1.1144,1.1008,1.1041,EUR/USD
27/03/2020,1.1034,1.1147,1.0953,1.1140,EUR/USD
26/03/2020,1.0881,1.1059,1.0873,1.1034,EUR/USD
25/03/2020,1.0812,1.0894,1.0759,1.0881,EUR/USD
24/03/2020,1.0745,1.0888,1.0742,1.0810,EUR/USD
23/03/2020,1.0659,1.0828,1.0656,1.0745,EUR/USD
20/03/2020,1.0663,1.0831,1.0636,1.0693,EUR/USD
19/03/2020,1.0933,1.0982,1.0653,1.0663,EUR/USD
18/03/2020,1.1015,1.1045,1.0801,1.0933,EUR/USD
17/03/2020,1.1168,1.1189,1.0954,1.1015,EUR/USD
16/03/2020,1.1157,1.1237,1.1084,1.1168,EUR/USD
13/03/2020,1.1176,1.1221,1.1053,1.1105,EUR/USD
12/03/2020,1.1259,1.1334,1.1054,1.1176,EUR/USD
11/03/2020,1.1308,1.1367,1.1249,1.1258,EUR/USD
10/03/2020,1.1439,1.1439,1.1274,1.1307,EUR/USD
09/03/2020,1.1387,1.1496,1.1355,1.1438,EUR/USD
06/03/2020,1.1230,1.1355,1.1211,1.1285,EUR/USD
05/03/2020,1.1133,1.1245,1.1118,1.1231,EUR/USD
04/03/2020,1.1169,1.1188,1.1094,1.1133,EUR/USD
03/03/2020,1.1139,1.1214,1.1094,1.1169,EUR/USD
02/03/2020,1.1046,1.1185,1.1035,1.1139,EUR/USD
28/02/2020,1.1002,1.1053,1.0949,1.1029,EUR/USD
27/02/2020,1.0882,1.1007,1.0878,1.1002,EUR/USD
26/02/2020,1.0881,1.0909,1.0853,1.0882,EUR/USD
25/02/2020,1.0852,1.0890,1.0828,1.0880,EUR/USD
24/02/2020,1.0830,1.0872,1.0804,1.0852,EUR/USD
21/02/2020,1.0787,1.0863,1.0783,1.0847,EUR/USD
20/02/2020,1.0808,1.0821,1.0777,1.0787,EUR/USD
19/02/2020,1.0795,1.0812,1.0780,1.0808,EUR/USD
18/02/2020,1.0837,1.0837,1.0785,1.0794,EUR/USD
17/02/2020,1.0838,1.0851,1.0827,1.0836,EUR/USD
14/02/2020,1.0840,1.0861,1.0826,1.0830,EUR/USD
13/02/2020,1.0872,1.0889,1.0833,1.0840,EUR/USD
12/02/2020,1.0919,1.0926,1.0863,1.0871,EUR/USD
11/02/2020,1.0911,1.0925,1.0891,1.0919,EUR/USD
10/02/2020,1.0944,1.0958,1.0907,1.0910,EUR/USD
07/02/2020,1.0981,1.0985,1.0940,1.0944,EUR/USD
06/02/2020,1.1000,1.1014,1.0963,1.0980,EUR/USD
05/02/2020,1.1045,1.1048,1.0992,1.0999,EUR/USD
04/02/2020,1.1059,1.1064,1.1031,1.1044,EUR/USD
03/02/2020,1.1084,1.1091,1.1035,1.1059,EUR/USD
31/01/2020,1.1032,1.1096,1.1015,1.1092,EUR/USD
30/01/2020,1.1010,1.1039,1.1005,1.1031,EUR/USD
29/01/2020,1.1022,1.1028,1.0991,1.1009,EUR/USD
28/01/2020,1.1018,1.1025,1.0996,1.1022,EUR/USD
27/01/2020,1.1030,1.1038,1.1008,1.1018,EUR/USD
24/01/2020,1.1055,1.1062,1.1019,1.1025,EUR/USD
23/01/2020,1.1093,1.1109,1.1035,1.1055,EUR/USD
22/01/2020,1.1082,1.1099,1.1069,1.1092,EUR/USD
21/01/2020,1.1096,1.1118,1.1079,1.1082,EUR/USD
20/01/2020,1.1091,1.1102,1.1075,1.1096,EUR/USD
17/01/2020,1.1137,1.1143,1.1084,1.1088,EUR/USD
16/01/2020,1.1152,1.1173,1.1127,1.1137,EUR/USD
15/01/2020,1.1126,1.1163,1.1117,1.1152,EUR/USD
14/01/2020,1.1135,1.1145,1.1103,1.1126,EUR/USD
13/01/2020,1.1117,1.1147,1.1111,1.1135,EUR/USD
10/01/2020,1.1106,1.1129,1.1084,1.1120,EUR/USD
09/01/2020,1.1110,1.1120,1.1092,1.1106,EUR/USD
08/01/2020,1.1147,1.1168,1.1100,1.1110,EUR/USD
07/01/2020,1.1196,1.1198,1.1132,1.1148,EUR/USD
06/01/2020,1.1160,1.1205,1.1155,1.1196,EUR/USD
03/01/2020,1.1171,1.1180,1.1123,1.1160,EUR/USD
02/01/2020,1.1215,1.1224,1.1162,1.1171,EUR/USD
01/01/2020,1.1212,1.1221,1.1208,1.1215,EUR/USD
31/12/2019,1.1199,1.1239,1.1197,1.1213,EUR/USD
30/12/2019,1.1179,1.1221,1.1176,1.1199,EUR/USD
